,, Server Room
0,2023-01-23 16:42:00+00:00,23.25
1,2023-01-23 16:45:00+00:00,23.375
2,2023-01-23 16:48:00+00:00,23.375
3,2023-01-23 16:51:00+00:00,23.25
4,2023-01-23 16:54:00+00:00,23.375
5,2023-01-23 16:57:00+00:00,23.25
6,2023-01-23 17:00:00+00:00,22.875
7,2023-01-23 17:03:00+00:00,23.125
8,2023-01-23 17:06:00+00:00,23.25
9,2023-01-23 17:09:00+00:00,23.25
10,2023-01-23 17:12:00+00:00,23.25
11,2023-01-23 17:15:00+00:00,23.25
12,2023-01-23 17:18:00+00:00,23.125
13,2023-01-23 17:21:00+00:00,23.25
14,2023-01-23 17:24:00+00:00,23.25
15,2023-01-23 17:27:00+00:00,23.0
16,2023-01-23 17:30:00+00:00,23.125
17,2023-01-23 17:33:00+00:00,23.0
18,2023-01-23 17:36:00+00:00,23.125
19,2023-01-23 17:39:00+00:00,23.25
20,2023-01-23 17:42:00+00:00,23.375
21,2023-01-23 17:45:00+00:00,23.25
22,2023-01-23 17:48:00+00:00,23.125
23,2023-01-23 17:51:00+00:00,23.125
24,2023-01-23 17:54:00+00:00,23.0
25,2023-01-23 17:57:00+00:00,22.875
26,2023-01-23 18:00:00+00:00,22.875
27,2023-01-23 18:03:00+00:00,23.125
28,2023-01-23 18:06:00+00:00,23.0
29,2023-01-23 18:09:00+00:00,23.125
30,2023-01-23 18:12:00+00:00,22.875
31,2023-01-23 18:15:00+00:00,23.0
32,2023-01-23 18:18:00+00:00,22.875
33,2023-01-23 18:21:00+00:00,23.0
34,2023-01-23 18:24:00+00:00,22.875
35,2023-01-23 18:27:00+00:00,22.875
36,2023-01-23 18:30:00+00:00,22.625
37,2023-01-23 18:33:00+00:00,22.875
38,2023-01-23 18:36:00+00:00,23.0
39,2023-01-23 18:39:00+00:00,23.25
40,2023-01-23 18:42:00+00:00,23.125
41,2023-01-23 18:45:00+00:00,23.0
42,2023-01-23 18:48:00+00:00,23.25
43,2023-01-23 18:51:00+00:00,23.25
44,2023-01-23 18:54:00+00:00,23.25
45,2023-01-23 18:57:00+00:00,23.25
46,2023-01-23 19:00:00+00:00,23.0
47,2023-01-23 19:03:00+00:00,22.875
48,2023-01-23 19:06:00+00:00,22.75
49,2023-01-23 19:09:00+00:00,23.125
50,2023-01-23 19:12:00+00:00,22.75
51,2023-01-23 19:15:00+00:00,22.75
52,2023-01-23 19:18:00+00:00,22.875
53,2023-01-23 19:21:00+00:00,22.5
54,2023-01-23 19:24:00+00:00,22.75
55,2023-01-23 19:27:00+00:00,23.0
56,2023-01-23 19:30:00+00:00,22.875
57,2023-01-23 19:33:00+00:00,22.75
58,2023-01-23 19:36:00+00:00,22.75
59,2023-01-23 19:39:00+00:00,22.75
60,2023-01-23 19:42:00+00:00,22.75
61,2023-01-23 19:45:00+00:00,22.5
62,2023-01-23 19:48:00+00:00,22.375
63,2023-01-23 19:51:00+00:00,22.5
64,2023-01-23 19:54:00+00:00,22.5
65,2023-01-23 19:57:00+00:00,22.5
66,2023-01-23 20:00:00+00:00,22.625
67,2023-01-23 20:03:00+00:00,22.5
68,2023-01-23 20:06:00+00:00,22.5
69,2023-01-23 20:09:00+00:00,22.375
70,2023-01-23 20:12:00+00:00,22.5
71,2023-01-23 20:15:00+00:00,22.625
72,2023-01-23 20:18:00+00:00,22.625
73,2023-01-23 20:21:00+00:00,22.75
74,2023-01-23 20:24:00+00:00,22.625
75,2023-01-23 20:27:00+00:00,22.625
76,2023-01-23 20:30:00+00:00,22.5
77,2023-01-23 20:33:00+00:00,22.5
78,2023-01-23 20:36:00+00:00,22.5
79,2023-01-23 20:39:00+00:00,22.75
80,2023-01-23 20:42:00+00:00,22.75
81,2023-01-23 20:45:00+00:00,22.625
82,2023-01-23 20:48:00+00:00,22.625
83,2023-01-23 20:51:00+00:00,22.75
84,2023-01-23 20:54:00+00:00,22.625
85,2023-01-23 20:57:00+00:00,22.625
86,2023-01-23 21:00:00+00:00,22.625
87,2023-01-23 21:03:00+00:00,22.625
88,2023-01-23 21:06:00+00:00,22.75
89,2023-01-23 21:09:00+00:00,22.625
90,2023-01-23 21:12:00+00:00,22.5
91,2023-01-23 21:15:00+00:00,22.5
